video;codec;resolution;width;bitrate [kb/s];nic;userDevice;cpu_model;encoded_segment_size [B];decoding_duration[s];average_cpu_utilization [%];energy_decode [wh];emission_decode_Austria_CI_157 [g];energy_NIC_LTE_TH_16_Mb/s [kWh];emission_NIC_LTE_TH_16_Austria_CI_157_[g];energy_NIC_LTE_TH_20_Mb/s [kWh];emission_NIC_LTE_TH_20_Austria_CI_157 [g];energy_NIC_LTE_TH_42_Mb/s [kWh];emission_NIC_LTE_TH_42_Austria_CI_157 [g];energy_NIC_LTE_TH_60_Mb/s [kWh];emission_NIC_LTE_TH_60_Austria_CI_157 [g]
AncientThought_s003;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;970361.0;0.54;6.1875;9.28125e-06;0.00145715625;7.588394753882902e-07;0.0001191377976359;6.346592211555555e-07;9.96414977214222e-05;3.054829916814815e-07;4.79608296939926e-05;2.157076563703704e-07;3.3866102050148155e-05
AncientThought_s003;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2138850.0;0.81;7.8125;1.7578125e-05;0.0027597656249999;1.6726185532335329e-06;0.0002626011128576;1.3989029600000002e-06;0.00021962776472;6.733394033333334e-07;0.0001057142863233;4.754584333333333e-07;7.464697403333332e-05
AncientThought_s003;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3640522.0;1.83;7.5;3.8125e-05;0.005985625;2.846952633730672e-06;0.0004469715634957;2.381063188977778e-06;0.0003738269206695;1.1460864068550263e-06;0.0001799355658762;8.092745571851852e-07;0.000127056105478
AncientThought_s003;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;5096479.0;2.93;7.6875;6.256770833333125e-05;0.009823130208333;3.9855367751666e-06;0.0006257292737011;3.333323776177778e-06;0.0005233318328599;1.6044416994931218e-06;0.0002518973468204;1.1329284058518515e-06;0.0001778697597187
AncientThought_s003;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;10596442.0;6.75;7.6875;0.0001441406249999;0.0226300781249843;8.286605179167797e-06;0.0013009970131293;6.9305440209777775e-06;0.0010880954112935;3.335905712759788e-06;0.0005237371969032;2.355549810518518e-06;0.0003698213202514
AncientThought_s004;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;57451.0;0.24;5.6875;3.791666666666667e-06;0.0005952916666666;4.492769876420493e-08;7.053648705980174e-06;3.7575507377777777e-08;5.899354658311111e-06;1.808636513121693e-08;2.839559325601058e-06;1.2771144518518518e-08;2.005069689407408e-06
AncientThought_s004;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;833496.0;0.59;6.6875;1.096006944444375e-05;0.0017207309027776;6.518086231600798e-07;0.0001023339538361;5.451434282666667e-07;8.558751823786667e-05;2.623960068825397e-07;4.119617308055873e-05;1.8528307377777777e-07;2.908944258311111e-05
AncientThought_s004;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;1693575.0;0.88;7.124999999999999;1.74166666666625e-05;0.002734416666666;1.3244056227844311e-06;0.0002079316827771;1.10767332e-06;0.00017390471124;5.331607078571428e-07;8.370623113357143e-05;3.7647545e-07;5.910664565e-05
AncientThought_s004;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2958614.0;1.78;7.625;3.77013888888875e-05;0.0059191180555553;2.313688509365536e-06;0.0003632490959703;1.935065049955556e-06;0.000303805212843;9.314123877100528e-07;0.0001462317448704;6.576889343703704e-07;0.0001032571626961
AncientThought_s004;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3965149.0;2.72;8.5;6.422222222221874e-05;0.0100828888888883;3.100816692959015e-06;0.0004868282207945;2.5933836748444447e-06;0.0004071612369505;1.2482834522232803e-06;0.000195980501999;8.81437936962963e-07;0.0001383857561031
AncientThought_s004;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;8005126.0;6.3;8.1875;0.00014328125;0.02249515625;6.260150206219295e-06;0.0009828435823764;5.235708187377777e-06;0.0008220061854183;2.520123788226455e-06;0.0003956594347515;1.779509861185185e-06;0.000279383048206
AncientThought_s005;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;81150.0;0.24;5.625;3.75e-06;0.00058875;6.346073618762477e-08;9.963335581457089e-06;5.307570666666668e-08;8.332885946666668e-06;2.5547136349206363e-08;4.010900406825399e-06;1.8039344444444445e-08;2.8321770777777778e-06
AncientThought_s005;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;990987.0;0.6;7.062499999999999;1.177083333333125e-05;0.001848020833333;7.74969372425948e-07;0.0001216701914708;6.481495418666667e-07;0.000101759478073;3.119763402253968e-07;4.89802854153873e-05;2.2029273977777777e-07;3.458596014511111e-05
AncientThought_s005;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2173104.0;0.9;7.000000000000001;1.75e-05;0.0027475;1.6994057874586826e-06;0.000266806708631;1.4213065984e-06;0.0002231451359488;6.84123033752381e-07;0.0001074073162991;4.830729706666667e-07;7.584245639466667e-05
AncientThought_s005;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3692435.0;1.79;8.0625;4.00885416666625e-05;0.006293901041666;2.8875495184837e-06;0.0004533452744019;2.4150165982222225e-06;0.0003791576059208;1.1624293334021165e-06;0.0001825014053441;8.208146248148149e-07;0.0001288678960959
AncientThought_s005;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;5195088.0;3.11;7.875;6.803125e-05;0.01068090625;4.062650758342515e-06;0.0006378361690597;3.3978184448e-06;0.0005334574958336;1.6354851692190475e-06;0.0002567711715673;1.1548488213333334e-06;0.0001813112649493
AncientThought_s005;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;10869193.0;6.43;8.0625;0.0001440052083333;0.022608817708328;8.499901288297937e-06;0.0013344845022627;7.108935297244445e-06;0.0011161028416673;3.421771479689948e-06;0.0005372181223113;2.4161813476296293e-06;0.0003793404715778
AncientThought_s006;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;70666.0;0.46;3.125;3.993055555555556e-06;0.0006269097222222;5.526206264244843e-08;8.676143834864403e-06;4.62187047111111e-08;7.256336639644443e-06;2.224662892486773e-08;3.4927207412042334e-06;1.5708790074074075e-08;2.4662800416296296e-06
AncientThought_s006;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;927116.0;0.53;6.25;9.2013888888875e-06;0.0014446180555553;7.250211200409846e-07;0.0001138283158464;6.063750691555556e-07;9.520088585742224e-05;2.918688707767196e-07;4.5823412711944974e-05;2.060944530370371e-07;3.2356829126814826e-05
AncientThought_s006;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2047529.0;0.88;7.124999999999999;1.74166666666625e-05;0.002734416666666;1.6012039150401866e-06;0.0002513890146613;1.339174967288889e-06;0.0002102504698643;6.445902962656086e-07;0.0001012006765137;4.551581132592592e-07;7.14598237817037e-05
AncientThought_s006;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3540100.0;1.84;7.5;3.833333333333125e-05;0.006018333333333;2.768420852468397e-06;0.0004346420738375;2.315382737777778e-06;0.0003635150898311;1.11447217978836e-06;0.0001749721322267;7.869511185185185e-07;0.0001235513256074
AncientThought_s006;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;4997307.0;3.2;7.5625;6.722222222221875e-05;0.0105538888888883;3.907982516026746e-06;0.0006135532550161;3.268460880533333e-06;0.0005131483582437;1.5732209896222222e-06;0.0002469956953706;1.1108828375555557e-06;0.0001744086054962
AncientThought_s006;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;10614634.0;6.39;8.375;0.00014865625;0.02333903125;8.300831645128677e-06;0.0013032305682852;6.942442397511112e-06;0.0010899634564092;3.341632804620106e-06;0.0005246363503253;2.3595938247407408e-06;0.0003704562304842
AncientThought_s007;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;69389.0;0.26;5.5625;4.017361111111111e-06;0.0006307256944444;5.426342604218231e-08;8.519357888622623e-06;4.5383489955555553e-08;7.125207923022222e-06;2.184461175767196e-08;3.4296040459544976e-06;1.54249177037037e-08;2.421712079481481e-06
AncientThought_s007;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;931699.0;0.59;6.75;1.10625e-05;0.0017368124999999;7.28605107150632e-07;0.0001143910018226;6.093725548444444e-07;9.567149111057775e-05;2.9331166222328044e-07;4.604993096905503e-05;2.071132369629629e-07;3.251677820318517e-05
