video,display_energy [kWh],emission_display_Austria_CI_157 [g]
AncientThought_s000,0.000123778432,0.019433213824
AncientThought_s001,6.4499926e-05,0.010126488382
AncientThought_s002,7.1752193e-05,0.011265094301
AncientThought_s003,9.1460306e-05,0.014359268042
AncientThought_s004,6.5172306e-05,0.010232052042
AncientThought_s005,4.8781739e-05,0.007658733023
AncientThought_s006,5.3928727e-05,0.008466810139
AncientThought_s007,5.3419479e-05,0.008386858203
AncientThought_s008,5.7942369e-05,0.009096951933
AncientThought_s009,8.4692014e-05,0.013296646198
AncientThought_s010,6.6438725e-05,0.010430879825
AncientThought_s011,4.7597424e-05,0.007472795568
AncientThought_s012,5.4017733e-05,0.008480784081
AncientThought_s013,0.000126258006,0.019822506942
AncientThought_s014,0.000104811782,0.016455449774
AncientThought_s015,6.8085384e-05,0.010689405288
AncientThought_s016,7.0439896e-05,0.011059063672
AncientThought_s017,6.6265997e-05,0.010403761529
AncientThought_s018,7.5060421e-05,0.011784486097
AncientThought_s019,5.2421179e-05,0.008230125103
AncientThought_s020,4.8536043e-05,0.007620158751
AncientThought_s021,0.000153585018,0.024112847826
AncientThought_s022,8.6880622e-05,0.013640257654
AncientThought_s023,0.000104945727,0.016476479139
AncientThought_s024,8.8616176e-05,0.013912739632
AncientThought_s025,0.000154686992,0.024285857744
AncientThought_s026,0.000201739798,0.031673148286
AncientThought_s027,9.5189937e-05,0.014944820109
AncientThought_s028,4.337466e-05,0.00680982162
AncientThought_s029,4.3088978e-05,0.006764969546
AncientThought_s030,5.0969387e-05,0.008002193759
AncientThought_s031,5.6760293e-05,0.008911366001
AncientThought_s032,5.8861665e-05,0.009241281405
AncientThought_s033,6.3570671e-05,0.009980595347
AncientThought_s034,5.149435e-05,0.00808461295
AncientThought_s035,4.8334431e-05,0.007588505667
AncientThought_s036,4.3968086e-05,0.006902989502
Basketball_s000,0.000134877951,0.021175838307
Basketball_s001,0.000136063553,0.021361977821
Beauty_s000,9.8964038e-05,0.015537353966
Bosohorus_s000,0.000331193957,0.051997451249
BundNightScape_s000,7.2452267e-05,0.011375005919
BundNightScape_s001,7.2338751e-05,0.011357183907
Bunny_s000,0.000234676087,0.036844145659
Bunny_s001,0.000230638389,0.036210227073
Busy_City_s000,0.000103322256,0.016221594192
Busy_City_s001,0.000106958653,0.016792508521
Busy_City_s002,9.2196983e-05,0.014474926331
Busy_City_s003,0.000107532096,0.016882539072
Busy_City_s004,0.000108418112,0.017021643584
Busy_City_s005,9.0688228e-05,0.014238051796
Busy_City_s006,8.5978014e-05,0.013498548198
Busy_City_s007,0.000121638179,0.019097194103
Busy_City_s008,9.5492345e-05,0.014992298165
Busy_City_s009,7.432095e-05,0.01166838915
Busy_City_s010,7.3877386e-05,0.011598749602
Busy_City_s011,7.3341638e-05,0.011514637166
Busy_City_s012,8.6310561e-05,0.013550758077
Busy_City_s013,9.6547005e-05,0.015157879785
Busy_City_s014,8.5383644e-05,0.013405232108
Busy_City_s015,7.9567823e-05,0.012492148211
Busy_City_s016,7.3472527e-05,0.011535186739
Busy_City_s017,0.000114516088,0.017979025816
Busy_City_s018,0.000117705295,0.018479731315
Busy_City_s019,0.000115272946,0.018097852522
Busy_City_s020,0.000103914658,0.016314601306
Busy_City_s021,0.000102526317,0.016096631769
Busy_City_s022,0.000101874907,0.015994360399
Busy_City_s023,9.7203259e-05,0.015260911663
Busy_City_s024,9.814626e-05,0.01540896282
CampfireParty_s000,0.000146963439,0.023073259923
CampfireParty_s001,0.000146064047,0.022932055379
Characters_s000,0.000264355183,0.041503763731
Characters_s001,0.00026226647,0.04117583579
Childs_Play_s000,0.000110541032,0.017354942024
Childs_Play_s001,0.000133931885,0.021027305945
Childs_Play_s002,0.000132355391,0.020779796387
Childs_Play_s003,0.000122148525,0.019177318425
Childs_Play_s004,0.000132777593,0.020846082101
Childs_Play_s005,0.000134435406,0.021106358742
Childs_Play_s006,0.000150254923,0.023590022911
Childs_Play_s007,0.000141892266,0.022277085762
Childs_Play_s008,0.000130402622,0.020473211654
Childs_Play_s009,0.000126929156,0.019927877492
Childs_Play_s010,0.000122575592,0.019244367944
Childs_Play_s011,0.000121243971,0.019035303447
Childs_Play_s012,0.000160424466,0.025186641162
Childs_Play_s013,0.000159050727,0.024970964139
Childs_Play_s014,0.000123909693,0.019453821801
Childs_Play_s015,0.000123382318,0.019371023926
Childs_Play_s016,0.000152661637,0.023967877009
Childs_Play_s017,0.000168578204,0.026466778028
Childs_Play_s018,0.000168545414,0.026461629998
CityAlley_s000,0.000111703489,0.017537447773
CityAlley_s001,0.000128207141,0.020128521137
ConstructionField_s000,0.000158001802,0.024806282914
ConstructionField_s001,0.000158960075,0.024956731775
Construction_s000,0.000186885946,0.029341093522
Construction_s001,0.000186152079,0.029225876403
Crowd_s000,0.000177381267,0.027848858919
Crowd_s001,0.000182938579,0.028721356903
Dolls_s000,0.000106271912,0.016684690184
Dolls_s001,0.000130386424,0.020470668568
Eldorado_s000,0.000175650519,0.027577131483
Eldorado_s001,0.000326476625,0.051256830125
Eldorado_s002,0.000173791386,0.027285247602
Eldorado_s003,0.000190698712,0.029939697784
Eldorado_s004,0.000190937858,0.029977243706
Eldorado_s005,0.000135720189,0.021308069673
Eldorado_s006,0.000160411932,0.025184673324
Eldorado_s007,0.000209625999,0.032911281843
Eldorado_s008,0.000164689608,0.025856268456
Eldorado_s009,0.00018071005,0.02837147785
Eldorado_s010,0.000201151709,0.031580818313
Eldorado_s011,0.000140975752,0.022133193064
Eldorado_s012,0.000183827342,0.028860892694
Eldorado_s013,0.00020526796,0.03222706972
Eldorado_s014,0.000180371016,0.028318249512
Eldorado_s015,0.000166323749,0.026112828593
Eldorado_s016,0.000202444964,0.031783859348
Eldorado_s017,0.000165427268,0.025972081076
Eldorado_s018,0.000152007338,0.023865152066
Eldorado_s019,0.000176909734,0.027774828238
Eldorado_s020,0.00019931203,0.03129198871
Eldorado_s021,0.000148994927,0.023392203539
Eldorado_s022,0.000126368515,0.019839856855
Eldorado_s023,0.000106078778,0.016654368146
Eldorado_s024,0.000159910855,0.025106004235
Eldorado_s025,0.000127166126,0.019965081782
Eldorado_s026,0.000110811009,0.017397328413
Eldorado_s027,9.7259526e-05,0.015269745582
Eldorado_s028,9.9975045e-05,0.015696082065
Eldorado_s029,0.00015253315,0.02394770455
Eldorado_s030,0.00014336186,0.02250781202
Eldorado_s031,0.000128997229,0.020252564953
Eldorado_s032,0.000133400641,0.020943900637
Eldorado_s033,0.000107716369,0.016911469933
Eldorado_s034,5.5313166e-05,0.008684167062
Eldorado_s035,4.8694881e-05,0.007645096317
FlowerFocus_s000,0.000143538145,0.022535488765
FlowerFocus_s001,0.000169370152,0.026591113864
FlowerKids_s000,0.000266125087,0.041781638659
FlowerKids_s001,0.000241814174,0.037964825318
Flowers_s000,0.000101650105,0.015959066485
Flowers_s001,9.930104e-05,0.01559026328
Fountains_s000,0.000169170086,0.026559703502
Fountains_s001,0.00016741243,0.02628375151
Fun_on_the_river_s000,0.000106471176,0.016715974632
Fun_on_the_river_s001,0.000124283721,0.019512544197
Fun_on_the_river_s002,8.5844587e-05,0.013477600159
Fun_on_the_river_s003,8.3772852e-05,0.013152337764
Fun_on_the_river_s004,8.9244701e-05,0.014011418057
Fun_on_the_river_s005,0.000104466038,0.016401167966
Fun_on_the_river_s006,0.000113599104,0.017835059328
Fun_on_the_river_s007,9.4135113e-05,0.014779212741
Fun_on_the_river_s008,9.5819918e-05,0.015043727126
Fun_on_the_river_s009,8.9116171e-05,0.013991238847
Fun_on_the_river_s010,8.3668816e-05,0.013136004112
Fun_on_the_river_s011,9.9667529e-05,0.015647802053
Fun_on_the_river_s012,9.962687e-05,0.01564141859
Fun_on_the_river_s013,0.000100919834,0.015844413938
Fun_on_the_river_s014,0.000113998908,0.017897828556
Fun_on_the_river_s015,0.00010695377,0.01679174189
Fun_on_the_river_s016,0.000132980882,0.020877998474
Fun_on_the_river_s017,8.5560369e-05,0.013432977933
Fun_on_the_river_s018,8.5599205e-05,0.013439075185
Fun_on_the_river_s019,8.5063593e-05,0.013354984101
Fun_on_the_river_s020,8.848232e-05,0.01389172424
Fun_on_the_river_s021,9.264295e-05,0.01454494315
Fun_on_the_river_s022,9.5421693e-05,0.014981205801
Fun_on_the_river_s023,9.5091902e-05,0.014929428614
Fun_on_the_river_s024,9.8210646e-05,0.015419071422
Fun_on_the_river_s025,9.3945429e-05,0.014749432353
Fun_on_the_river_s026,9.4257209e-05,0.014798381813
Fun_on_the_river_s027,9.4892309e-05,0.014898092513
Fun_on_the_river_s028,9.2456912e-05,0.014515735184
HoneyBee_s000,0.000137564613,0.021597644241
Indoor_Soccer_s000,0.000130524439,0.020492336923
Indoor_Soccer_s001,0.000293438301,0.046069813257
Indoor_Soccer_s002,0.000159787138,0.025086580666
Indoor_Soccer_s003,0.000223172853,0.035038137921
Indoor_Soccer_s004,0.000163617261,0.025687909977
Indoor_Soccer_s005,0.000214769484,0.033718808988
Indoor_Soccer_s006,0.000168111408,0.026393491056
Indoor_Soccer_s007,0.000154877481,0.024315764517
Indoor_Soccer_s008,0.000180102466,0.028276087162
Indoor_Soccer_s009,0.000268262435,0.042117202295
Indoor_Soccer_s010,0.000141753497,0.022255299029
Indoor_Soccer_s011,0.00013410818,0.02105498426
Indoor_Soccer_s012,6.4412465e-05,0.010112757005
Indoor_Soccer_s013,0.000105156197,0.016509522929
Indoor_Soccer_s014,0.000103270941,0.016213537737
Indoor_Soccer_s015,0.000109533044,0.017196687908
Indoor_Soccer_s016,0.000134881724,0.021176430668
Indoor_Soccer_s017,0.000133451147,0.020951830079
Indoor_Soccer_s018,0.000103997326,0.016327580182
Indoor_Soccer_s019,0.000144583966,0.022699682662
Indoor_Soccer_s020,0.000116007515,0.018213179855
Indoor_Soccer_s021,0.000128703035,0.020206376495
Indoor_Soccer_s022,0.000145455158,0.022836459806
Indoor_Soccer_s023,0.000155704323,0.024445578711
Indoor_Soccer_s024,0.00016715825,0.02624384525
Indoor_Soccer_s025,0.000158926394,0.024951443858
Indoor_Soccer_s026,0.00019312883,0.03032122631
Indoor_Soccer_s027,0.000184264284,0.028929492588
Indoor_Soccer_s028,0.000186635428,0.029301762196
Indoor_Soccer_s029,0.000202964374,0.031865406718
Indoor_Soccer_s030,0.00020273056,0.03182869792
Indoor_Soccer_s031,0.000143157564,0.022475737548
Indoor_Soccer_s032,0.000135938786,0.021342389402
Indoor_Soccer_s033,0.00010090803,0.01584256071
Indoor_Soccer_s034,0.000137928758,0.021654815006
Indoor_Soccer_s035,0.000127797251,0.020064168407
Indoor_Soccer_s036,0.000130819078,0.020538595246
Indoor_Soccer_s037,0.000138724806,0.021779794542
Indoor_Soccer_s038,0.000141422071,0.022203265147
Indoor_Soccer_s039,0.000136341519,0.021405618483
Indoor_Soccer_s040,0.000152482384,0.023939734288
Indoor_Soccer_s041,0.000125883789,0.019763754873
Indoor_Soccer_s042,0.00013528407,0.02123959899
Indoor_Soccer_s043,0.000111395448,0.017489085336
Indoor_Soccer_s044,5.9976097e-05,0.009416247229
Indoor_Soccer_s045,6.7147115e-05,0.010542097055
Indoor_Soccer_s046,6.3756352e-05,0.010009747264
Indoor_Soccer_s047,5.7566319e-05,0.009037912083
Indoor_Soccer_s048,4.8048278e-05,0.007543579646
Indoor_Soccer_s049,4.4402392e-05,0.006971175544
Jockey_s000,0.000149632759,0.023492343163
Lake_s000,0.000159204357,0.024995084049
Lake_s001,0.000158952583,0.024955555531
Library_s000,0.000196370755,0.030830208535
Library_s001,0.000201242925,0.031595139225
Lifting_Off_s000,0.000173485904,0.027237286928
Lifting_Off_s001,0.00019000851,0.02983133607
Lifting_Off_s002,0.000274191035,0.043047992495
Lifting_Off_s003,0.000335090089,0.052609143973
Lifting_Off_s004,0.000298345805,0.046840291385
Lifting_Off_s005,0.000213095064,0.033455925048
Lifting_Off_s006,0.000359567838,0.056452150566
Lifting_Off_s007,0.000363063408,0.057000955056
Lifting_Off_s008,0.000335586449,0.052687072493
Lifting_Off_s009,0.000337629872,0.053007889904
Lifting_Off_s010,0.000327424468,0.051405641476
Lifting_Off_s011,0.000262372607,0.041192499299
Lifting_Off_s012,0.000262069566,0.041144921862
Lifting_Off_s013,0.000253569529,0.039810416053
Lifting_Off_s014,0.00023594626,0.03704356282
Lifting_Off_s015,0.000235168672,0.036921481504
Lifting_Off_s016,0.000170689932,0.026798319324
Lifting_Off_s017,0.000157239032,0.024686528024
Lifting_Off_s018,0.000162997514,0.025590609698
Lifting_Off_s019,0.00016897969,0.02652981133
Lifting_Off_s020,0.000198651081,0.031188219717
Lifting_Off_s021,0.000274207707,0.043050609999
Lifting_Off_s022,0.000277796425,0.043614038725
Lifting_Off_s023,0.000297476832,0.046703862624
Lifting_Off_s024,0.000311118548,0.048845612036
Lifting_Off_s025,0.000309872408,0.048649968056
Lifting_Off_s026,0.000309059771,0.048522384047
Lifting_Off_s027,0.000313458355,0.049212961735
Lifting_Off_s028,0.000314376235,0.049357068895
Lifting_Off_s029,0.000314371035,0.049356252495
Lifting_Off_s030,0.000313893003,0.049281201471
Lifting_Off_s031,0.000290390878,0.045591367846
